word,frequency
ревнивата,1
съпруга,1
лъч,1
вчера,1
болните,1
амбиции,1
поне,1
прът,1
спици,1
веднъж,1
доволни,1
успели,1
търсим,1
оправдава,1
мравката,1
напредваме,1
топим,1
бакърно,1
сияен,1
вяло,1
удря,1
започва,1
горящо,1
колело,1
прижуря,1
сгърчени,1
побездомен,1
търкаля,1
неизвестността,1
шосето,1
биволът,1
двигателят,1
могъщ,1
лежи,1
засъхнала,1
преживя,1
нефт,1
прилича,1
отдалече,1
пресушим,1
разбит,1
старият,1
ярем,1
зее,1
страшно,1
надникнем,1
съзрем,1
лениво,1
прашно,1
жегата,1
припадък,1
свлякла,1
тежка,1
факла,1
стрехите,1
трепкащи,1
пожар,1
оголената,1
жица,1
зацъка,1
пепелянка,1
неземна,1
пламне,1
мозък,1
облак,1
бял,1
мравунякът,1
застрашен,1
плиска,1
сълза,1
нужна,1
близка,1
проливаме,1
помъдрял,1
пожарната,1
вената,1
уличката,1
крива,1
съсирек,1
страстта,1
утихва,1
съмнения,1
антрацитните,1
коси,1
горим,1
младата,1
топола,1
квартала,1
струя,1
развъртяла,1
угаси,1
април,1
бистра,1
синева,1
пчелите,1
подивели,1
пасат,1
кошерите,1
побуйна,1
спъва,1
нова,1
плашим,1
съня,1
крайпътни,1
сънуват,1
сънят,1
стряска,1
месечина,1
препъват,1
зелки,1
синя,1
облети,1
глави,1
заровени,1
заспиш,1
вдишваш,1
размразена,1
слушаш,1
котките,1
сутерена,1
възражда,1
жива,1
част,1
белите,1
цъфнали,1
антени,1
дочува,1
предсмъртно,1
стене,1
милост,1
каменна,1
ръка,1
крепи,1
ъгловата,1
грохнала,1
крака,1
млад,1
мълча,1
ъглите,1
държат,1
започне,1
прегръща,1
дава,1
искам,1
дълъг,1
ходя,1
изляза,1
лабиринта,1
нишка,1
оставям,1
прегризват,1
треви,1
пробие,1
работиш,1
кърт,1
видиш,1
отвъд,1
изходът,1
зачервен,1
въздишки,1
тайната,1
опази,1
умре,1
хубав,1
честна,1
изживян,1
заслужено,1
метастази,1
обхванали,1
целия,1
посърнал,1
вечерен,1
хълм,1
голото,1
било,1
пълзи,1
каруца,1
сено,1
облака,1
насядали,1
ангелчета,1
почват,1
игра,1
прескочикобила,1
селото,1
изоставя,1
напада,1
смело,1
вдовицата,1
грях,1
изкупва,1
дреха,1
черна,1
пострашно,1
скърбящият,1
обърната,1
навън,1
църквата,1
звук,1
камбаната,1
пустее,1
клюмнало,1
лале,1
вечната,1
разрязал,1
лимон,1
половината,1
плава,1
стъпил,1
йога,1
лежа,1
пирони,1
отрано,1
мускулът,1
пощада,1
мъжа,1
ужасно,1
наравно,1
далечна,1
бляскава,1
постудена,1
бягам,1
страха,1
секира,1
сладък,1
стана,1
търкулва,1
светва,1
разцъфналата,1
водна,1
лилия,1
мълчи,1
секунди,1
ери,1
пясъчен,1
часовник,1
мери,1
мирис,1
кои,1
пясъци,1
глава,1
подслоня,1
режеща,1
гърба,1
криле,1
далечен,1
летели,1
тичам,1
мъгла,1
космични,1
пропасти,1
потоци,1
светила,1
фатални,1
въжето,1
между,1
сградите,1
високи,1
ветрее,1
бяла,1
ангелнегър,1
слиза,1
справедлив,1
спяща,1
праща,1
зъзне,1
ъгъл,1
свила,1
тръстикова,1
завеса,1
разтваряш,1
вмъкваш,1
тъмните,1
врати,1
найнадеждната,1
закрила,1
облото,1
кубе,1
политнал,1
гърдата,1
жена,1
изневерила,1
губим,1
увереност,1
ум,1
черти,1
порив,1
свеж,1
разлисти,1
понесеш,1
линейка,1
срещу,1
хоризонта,1
сигнал,1
излети,1
върне,1
посамотна,1
видяла,1
жълт,1
увяхнал,1
дъното,1
вехтошарят,1
глас,1
разтворената,1
чуват,1
готови,1
затварят,1
потъмнялата,1
врата,1
възторг,1
злъч,1
чувство,1
вина,1
пропукват,1
последно,1
научава,1
борби,1
събития,1
новина,1
крият,1
отломки,1
младост,1
дом,1
студен,1
кърпят,1
мъчат,1
вържат,1
далечното,1
начало,1
изпитват,1
запълнят,1
изхабеното,1
поредното,1
пропукване,1
маргаритките,1
милиони,1
озъбени,1
слънца,1
синевата,1
ръфа,1
абсурдна,1
дописките,1
вее,1
огромни,1
ескаватори,1
раздерат,1
майката,1
мойта,1
гръд,1
живее,1
яде,1
кафеза,1
ребрата,1
полети,1
чуя,1
стъкла,1
пристъп,1
мята,1
безсънна,1
отрязани,1
дългия,1
пазар,1
премина,1
купува,1
продава,1
житейската,1
везна,1
стоим,1
своята,1
цена,1
скрие,1
истината,1
ярката,1
витрина,1
избягал,1
надут,1
петел,1
ножът,1
чул,1
опитват,1
връщат,1
цената,1
жлъчно,1
усмихва,1
изронен,1
сух,1
мамул,1
вяли,1
мрачни,1
пълзят,1
сделките,1
полесно,1
предава,1
гладът,1
застанал,1
отзад,1
обрана,1
нива,1
избива,1
къртичина,1
посветъл,1
зноят,1
тромавият,1
гледка,1
неизменна,1
изкопа,1
залян,1
къщурки,1
прашни,1
жаби,1
зноя,1
спят,1
премине,1
грохот,1
самолет,1
небосводът,1
пукнатини,1
изтръпнал,1
блед,1
съзираш,1
бъдещи,1
години,1
тайните,1
вглежда,1
последната,1
литнеш,1
могат,1
спрат,1
човека,1
последното,1
столетник,1
надживял,1
приятели,1
врагове,1
дните,1
кове,1
трусовете,1
чие,1
хваща,1
вселенска,1
чии,1
разнищени,1
съдби,1
силата,1
казват,1
пропиляното,1
губя,1
залагам,1
скъпия,1
лоши,1
сънища,1
обливат,1
родната,1
изкъртени,1
лунна,1
вар,1
дланта,1
печели,1
ах,1
треперлив,1
нищичко,1
бъдеш,1
стара,1
жив,1
бъда,1
предеш,1
свещ,1
сонета,1
ронсар,1
грозното,1
злото,1
повтаря,1
мъчително,1
ражда,1
прилепи,1
разпарцалосан,1
вън,1
трепка,1
попарена,1
асма,1
няколко,1
чепка,1
изпито,1
осите,1
грозде,1
скрежно,1
топят,1
топъл,1
изкъпва,1
новородено,1
жиците,1
защипват,1
облачните,1
пелени,1
върти,1
напълнено,1
вретено,1
скъса,1
нишката,1
преде,1
август,1
ноември,1
натрапчив,1
мръкнало,1
старата,1
казарма,1
жълтурчетата,1
патета,1
пасях,1
търчи,1
прашната,1
наблизо,1
тайнствения,1
двор,1
свири,1
войнишката,1
примамлива,1
тръба,1
друго,1
едреещи,1
затова,1
заекващо,1
сянка,1
синина,1
камшик,1
измъчена,1
разтвори,1
лоно,1
незаконно,1
смаеш,1
мълчиш,1
заровен,1
прашните,1
сергии,1
монета,1
картина,1
мисъл,1
ценна,1
намира,1
купувач,1
мокрия,1
листо,1
счупена,1
каквито,1
дъждове,1
съблекат,1
златото,1
пищните,1
парцали,1
цветни,1
картички,1
тайнствени,1
места,1
сив,1
скучен,1
сбъдната,1
мечта,1
чужденец,1
хилядите,1
минувачи,1
син,1
жираф,1
проточената,1
тръгнала,1
оказала,1
стоиш,1
разчесва,1
среброкоса,1
ръжда,1
сажди,1
къноса,1
смири,1
чия,1
нестихваща,1
нощите,1
предлагаш,1
чуждите,1
хвърлят,1
изгорят,1
европа,1
изгряваш,1
разбито,1
гориш,1
франсоа,1
вийон,1
водата,1
зловещи,1
напомнят,1
дъските,1
тегли,1
пия,1
вас,1
отмъстя,1
денонощна,1
кръчма,1
кръстопътя,1
кое,1
столетие,1
съгледат,1
прихванали,1
корема,1
химерите,1
нотър,1
дам,1
повръщат,1
бълвоч,1
дъждовен,1
правил,1
висините,1
слязох,1
химера,1
грозновата,1
реших,1
чуждото,1
изравня,1
везната,1
съдбите,1
разпределя,1
бях,1
съда,1
укривал,1
двореца,1
сито,1
живял,1
мога,1
решавам,1
точно,1
спорните,1
отпред,1
сложих,1
монахът,1
мислете,1
вие,1
мъчете,1
жалката,1
червеите,1
вашто,1
изсъхнало,1
пощадят,1
продължа,1
времената,1
стряскам,1
тъжните,1
ехтежа,1
ветрове,1
камбанен,1
опънал,1
незрима,1
пробиват,1
скок,1
тялото,1
навеки,1
мантията,1
единствената,1
доблестна,1
одежда,1
голата,1
скита,1
циганка,1
красива,1
измъчва,1
раницата,1
маршалски,1
жезъл,1
гърбицата,1
проклятие,1
роден,1
скръб,1
скача,1
камбаните,1
изплезил,1
понещастна,1
понесла,1
версай,1
четиринадесети,1
юли,1
чувал,1
краляслънце,1
търкули,1
разкошните,1
палати,1
лутат,1
бедни,1
богати,1
взират,1
огледалата,1
натежали,1
потайни,1
сцени,1
сребролюбци,1
кралици,1
извратени,1
монарси,1
изпети,1
възхвали,1
забравени,1
създаваме,1
картини,1
книги,1
скулптури,1
гоблени,1
отмъстим,1
тленни,1
бързаме,1
отвън,1
измина,1
представи,1
слави,1
версайските,1
фонтани,1
празник,1
излизат,1
новите,1
дрехи,1
семейство,1
бедно,1
