word,frequency
ръце,1
па,1
прегърнат,1
хвръкнат,1
летят,1
дорде,1
осъмнат,1
духът,1
съмна,1
вълкът,1
ближе,1
лютата,1
пак,1
молитва,1
благословен,1
бог,1
наш,1
мой,1
правий,1
съцето,1
кланят,1
калугери,1
попове,1
свещи,1
палят,1
православните,1
скотове,1
направил,1
кал,1
мъжът,1
жената,1
човекът,1
оставил,1
роб,1
бъде,1
помазал,1
царе,1
папи,1
патриарси,1
неволя,1
зарязал,1
сиромаси,1
учиш,1
търпи,1
моли,1
храниш,1
дор,1
само,1
надежди,1
голи,1
лъжците,1
безчестните,1
тирани,1
идол,1
глупците,1
човешките,1
душмани,1
разумът,1
защитниче,1
робите,1
когото,1
празнуват,1
денят,1
скоро,1
народите,1
вдъхни,1
секиму,1
жива,1
бори,1
душманите,1
подкрепи,1
ръката,1
въстане,1
редовете,1
борбата,1
найда,1
оставяй,1
изстине,1
буйно,1
гласът,1
премине,1
обесването,1
васил,1
левски,1
моя,1
родино,1
милно,1
гарване,1
птицо,1
проклета,1
чий,1
грачеш,1
ох,1
робиня,1
твоят,1
свещен,1
помощ,1
близо,1
край,1
град,1
софия,1
стърчи,1
видях,1
черно,1
бесило,1
твой,1
един,1
син,1
българийо,1
виси,1
страшна,1
гарванът,1
грачи,1
зловещо,1
псета,1
вълци,1
вият,1
полята,1
старци,1
молят,1
богу,1
горещо,1
жените,1
плачат,1
пищят,1
децата,1
зимата,1
свойта,1
зла,1
вихрове,1
гонят,1
тръни,1
студ,1
мраз,1
надежда,1
навяват,1
скръб,1
